Day + Time,TempC,Windspeed(km/h),Windir16Point,WeatherCode,Humidity (%),Visibility (km),Pressure (mb),Cloudcover (%)
2013-01-01 - 0,24,3,NNE,113,78,10,1011,20
2013-01-01 - 300,23,4,NNE,113,78,10,1010,22
2013-01-01 - 600,24,6,N,113,78,10,1011,21
2013-01-01 - 900,28,7,N,113,64,10,1012,16
2013-01-01 - 1200,32,3,NNW,113,52,10,1010,14
2013-01-01 - 1500,31,3,WNW,113,53,10,1009,23
2013-01-01 - 1800,27,5,SSW,116,70,10,1010,18
2013-01-02 - 0,24,3,ESE,113,82,10,1011,20
2013-01-02 - 300,23,3,E,113,84,10,1010,22
2013-01-02 - 600,24,4,NNE,113,78,10,1011,21
2013-01-02 - 900,30,3,NNE,113,59,10,1012,16
2013-01-02 - 1200,33,3,WNW,113,48,10,1010,14
2013-01-02 - 1500,32,3,SW,113,52,10,1009,23
2013-01-02 - 1800,27,1,SSE,113,70,10,1010,18
2013-01-03 - 0,25,3,W,113,77,10,1011,20
2013-01-03 - 300,24,2,WNW,113,80,10,1010,22
2013-01-03 - 600,25,4,NNE,116,74,10,1011,21
2013-01-03 - 900,29,5,ENE,116,62,10,1012,16
2013-01-03 - 1200,34,2,E,116,46,10,1010,14
2013-01-03 - 1500,32,4,NE,176,55,9,1009,23
2013-01-03 - 1800,27,1,WNW,113,70,10,1010,18
2013-01-04 - 0,25,2,N,116,81,10,1011,20
2013-01-04 - 300,24,3,NNW,116,80,10,1010,22
2013-01-04 - 600,24,7,NNE,116,82,10,1011,21
2013-01-04 - 900,28,4,NNW,116,67,10,1012,16
2013-01-04 - 1200,31,4,NNW,116,57,10,1010,14
2013-01-04 - 1500,31,4,NNW,176,57,9,1009,23
2013-01-04 - 1800,27,0,S,116,67,10,1010,18
2013-01-05 - 0,23,6,N,116,73,10,1011,20
2013-01-05 - 300,22,6,N,116,79,10,1010,22
2013-01-05 - 600,22,6,N,116,81,10,1011,21
2013-01-05 - 900,26,5,NNE,113,70,10,1012,16
2013-01-05 - 1200,29,3,NW,116,62,10,1010,14
2013-01-05 - 1500,28,3,NNW,116,64,10,1009,23
2013-01-05 - 1800,26,5,W,116,73,10,1010,18
2013-01-06 - 0,24,9,NNE,122,70,10,1011,20
2013-01-06 - 300,23,6,NNE,266,80,2,1010,22
2013-01-06 - 600,22,5,NNE,122,91,10,1011,21
2013-01-06 - 900,25,7,N,266,80,2,1012,16
2013-01-06 - 1200,25,7,NNW,119,81,10,1010,14
2013-01-06 - 1500,25,11,NNW,296,85,9,1009,23
2013-01-06 - 1800,24,10,NNE,116,93,10,1010,18
2013-01-07 - 0,23,8,NE,143,94,2,1011,20
2013-01-07 - 300,23,8,NNE,293,95,9,1010,22
2013-01-07 - 600,23,9,NNE,143,96,2,1011,21
2013-01-07 - 900,25,10,N,293,87,9,1012,16
2013-01-07 - 1200,27,9,N,119,77,10,1010,14
2013-01-07 - 1500,25,8,NNE,302,90,7,1009,23
2013-01-07 - 1800,24,9,N,116,94,10,1010,18
2013-01-08 - 0,23,4,NE,143,96,2,1011,20
2013-01-08 - 300,22,4,NE,143,95,2,1010,22
2013-01-08 - 600,23,7,NNW,116,93,10,1011,21
2013-01-08 - 900,26,9,N,116,78,10,1012,16
2013-01-08 - 1200,31,10,NNW,116,59,10,1010,14
2013-01-08 - 1500,29,10,N,353,67,10,1009,23
2013-01-08 - 1800,26,7,E,119,82,10,1010,18
2013-01-09 - 0,24,6,NW,119,86,10,1011,20
2013-01-09 - 300,23,4,NNW,116,91,10,1010,22
2013-01-09 - 600,25,4,NNE,116,86,10,1011,21
2013-01-09 - 900,29,4,ENE,116,70,10,1012,16
2013-01-09 - 1200,32,1,W,116,59,10,1010,14
2013-01-09 - 1500,30,4,SSW,353,63,10,1009,23
2013-01-09 - 1800,26,7,SSW,116,81,10,1010,18
2013-01-10 - 0,25,5,WSW,116,91,10,1011,20
2013-01-10 - 300,24,5,NW,353,92,10,1010,22
2013-01-10 - 600,23,5,N,116,91,10,1011,21
2013-01-10 - 900,28,5,NNE,116,72,10,1012,16
2013-01-10 - 1200,31,1,E,116,61,10,1010,14
2013-01-10 - 1500,29,10,SSE,176,67,9,1009,23
2013-01-10 - 1800,25,12,SSE,113,88,10,1010,18
2013-01-11 - 0,24,6,ESE,116,86,10,1011,20
2013-01-11 - 300,23,5,NNE,176,89,9,1010,22
2013-01-11 - 600,24,7,NE,113,89,10,1011,21
2013-01-11 - 900,28,6,N,116,70,10,1012,16
2013-01-11 - 1200,31,6,NNW,113,55,10,1010,14
2013-01-11 - 1500,31,1,N,113,52,10,1009,23
2013-01-11 - 1800,26,9,SSE,113,73,10,1010,18
2013-01-12 - 0,24,2,SE,113,87,10,1011,20
2013-01-12 - 300,23,2,NNW,113,89,10,1010,22
2013-01-12 - 600,23,6,NNW,113,84,10,1011,21
2013-01-12 - 900,28,7,NW,113,67,10,1012,16
2013-01-12 - 1200,31,5,NW,113,48,10,1010,14
2013-01-12 - 1500,31,3,WNW,113,45,10,1009,23
2013-01-12 - 1800,26,10,SSE,113,67,10,1010,18
2013-01-13 - 0,23,7,SSE,113,86,10,1011,20
2013-01-13 - 300,22,4,SSE,113,92,10,1010,22
2013-01-13 - 600,23,4,NNE,113,87,10,1011,21
2013-01-13 - 900,28,5,NNW,113,66,10,1012,16
2013-01-13 - 1200,32,6,N,113,47,10,1010,14
2013-01-13 - 1500,31,1,ESE,113,47,10,1009,23
2013-01-13 - 1800,25,14,SSE,113,72,10,1010,18
2013-01-14 - 0,22,8,SE,113,89,10,1011,20
2013-01-14 - 300,22,5,ESE,113,91,10,1010,22
2013-01-14 - 600,23,5,E,113,85,10,1011,21
2013-01-14 - 900,28,7,NE,113,63,10,1012,16
2013-01-14 - 1200,31,9,NNE,116,49,10,1010,14
2013-01-14 - 1500,31,5,NE,176,52,9,1009,23
2013-01-14 - 1800,25,6,SSE,116,76,10,1010,18
2013-01-15 - 0,23,7,SE,116,88,10,1011,20
2013-01-15 - 300,22,7,E,116,90,10,1010,22
2013-01-15 - 600,23,8,ENE,113,89,10,1011,21
2013-01-15 - 900,28,6,NNE,116,67,10,1012,16
2013-01-15 - 1200,31,9,N,116,50,10,1010,14
2013-01-15 - 1500,31,4,N,113,49,10,1009,23
2013-01-15 - 1800,26,9,SSE,116,72,10,1010,18
2013-01-16 - 0,23,4,SE,113,85,10,1011,20
2013-01-16 - 300,22,2,NNE,113,90,10,1010,22
2013-01-16 - 600,22,9,NNE,113,82,10,1011,21
2013-01-16 - 900,27,5,N,113,58,10,1012,16
2013-01-16 - 1200,31,6,NNE,113,40,10,1010,14
2013-01-16 - 1500,31,2,ENE,113,39,10,1009,23
2013-01-16 - 1800,25,13,SE,113,64,10,1010,18
2013-01-17 - 0,22,3,ENE,113,82,10,1011,20
2013-01-17 - 300,21,7,N,113,79,10,1010,22
2013-01-17 - 600,21,8,NNE,116,75,10,1011,21
2013-01-17 - 900,27,8,NNW,113,56,10,1012,16
2013-01-17 - 1200,31,8,NNW,113,42,10,1010,14
2013-01-17 - 1500,31,5,NNW,113,42,10,1009,23
2013-01-17 - 1800,26,4,S,116,63,10,1010,18
2013-01-18 - 0,23,6,N,116,74,10,1011,20
2013-01-18 - 300,22,10,N,116,72,10,1010,22
2013-01-18 - 600,21,13,NE,113,72,10,1011,21
2013-01-18 - 900,27,8,NE,113,55,10,1012,16
2013-01-18 - 1200,31,4,N,116,45,10,1010,14
2013-01-18 - 1500,31,0,NW,113,45,10,1009,23
2013-01-18 - 1800,25,4,ESE,113,67,10,1010,18
2013-01-19 - 0,22,7,NNE,113,74,10,1011,20
2013-01-19 - 300,21,8,N,116,75,10,1010,22
2013-01-19 - 600,21,8,NNE,113,76,10,1011,21
2013-01-19 - 900,27,5,N,113,59,10,1012,16
2013-01-19 - 1200,31,6,NW,113,48,10,1010,14
2013-01-19 - 1500,30,4,WNW,113,47,10,1009,23
2013-01-19 - 1800,26,7,SSW,113,60,10,1010,18
2013-01-20 - 0,23,3,SE,113,81,10,1011,20
2013-01-20 - 300,22,1,NNE,113,83,10,1010,22
2013-01-20 - 600,24,4,N,116,76,10,1011,21
2013-01-20 - 900,30,3,NNE,116,55,10,1012,16
2013-01-20 - 1200,33,5,SSE,116,44,10,1010,14
2013-01-20 - 1500,32,9,SSE,116,47,10,1009,23
2013-01-20 - 1800,27,10,SSE,116,64,10,1010,18
2013-01-21 - 0,24,9,ESE,116,77,10,1011,20
2013-01-21 - 300,24,7,E,113,77,10,1010,22
2013-01-21 - 600,24,6,NNE,113,74,10,1011,21
2013-01-21 - 900,30,6,N,113,55,10,1012,16
2013-01-21 - 1200,33,1,E,116,44,10,1010,14
2013-01-21 - 1500,32,6,SSE,113,47,10,1009,23
2013-01-21 - 1800,27,11,SE,113,66,10,1010,18
2013-01-22 - 0,24,13,ESE,116,78,10,1011,20
2013-01-22 - 300,24,10,E,119,79,10,1010,22
2013-01-22 - 600,24,8,ENE,122,77,10,1011,21
2013-01-22 - 900,30,8,NE,113,56,10,1012,16
2013-01-22 - 1200,33,4,N,116,47,10,1010,14
2013-01-22 - 1500,32,9,SE,356,53,7,1009,23
2013-01-22 - 1800,26,12,SSE,113,72,10,1010,18
2013-01-23 - 0,24,9,SE,113,81,10,1011,20
2013-01-23 - 300,23,6,ESE,113,84,10,1010,22
